scale,n_block,intensity_index,k_events,b4_mean_event_expanded,b4_p50_event_expanded,b4_p95_event_expanded,b2_mean_event_expanded,b2_p50_event_expanded,b2_p95_event_expanded,expanded_reduction,expanded_ratio_p50_b2_over_b4,expanded_test_name,expanded_p_value,b4_mean_cumulative_queue_pushes,b2_mean_cumulative_queue_pushes,b4_mean_cumulative_updated_vertices,b2_mean_cumulative_updated_vertices,b4_mean_cumulative_reopened_states,b2_mean_cumulative_reopened_states,b4_mean_cumulative_expanded,b2_mean_cumulative_expanded
large,2,2,5,581.3199999999999,575.7,873.3699999999998,2728.873333333334,2859.0,3037.81,0.7869743557170115,4.901581957581365,wilcoxon,1.862645149230957e-09,18688.566666666666,19747.633333333335,32675.333333333332,19742.633333333335,1526.5666666666666,0.0,2906.6,13644.366666666667
large,4,4,5,708.2066666666666,648.5,1211.3699999999994,2500.9000000000005,2516.0,2948.91,0.7168192783931119,3.7797601489115205,wilcoxon,1.862645149230957e-09,23027.666666666668,18148.133333333335,41029.833333333336,18143.133333333335,1942.7333333333333,0.0,3541.0333333333333,12504.5
large,6,6,5,821.3466666666666,781.4000000000001,1312.1399999999996,2400.6600000000003,2440.8,2752.62,0.6578663089872507,3.0286997062003795,wilcoxon,1.862645149230957e-09,26958.666666666668,17283.333333333332,48518.5,17278.333333333332,2269.0333333333333,0.0,4106.733333333334,12003.3
large,8,8,5,991.6800000000001,926.5,1467.8700000000001,2169.5266666666666,2186.8,2566.42,0.5429049039882738,2.3242555572541987,wilcoxon,1.862645149230957e-09,32554.2,15405.0,58639.76666666667,15400.0,2776.733333333333,0.0,4958.4,10847.633333333333
