scale,n_block,intensity_index,k_events,b4_mean_cumulative_ms,b2_mean_cumulative_ms,b4_p50_cumulative_ms,b4_p95_cumulative_ms,b2_p50_cumulative_ms,b2_p95_cumulative_ms,b2_over_b4_time_ratio,b2_over_b4_time_ratio_mean_of_means,b2_over_b4_time_ratio_mean,b2_over_b4_time_ratio_p95,b4_faster_rate,b4_mean_cumulative_expanded,b4_p50_cumulative_expanded,b4_p95_cumulative_expanded,b2_mean_cumulative_expanded,b2_p50_cumulative_expanded,b2_p95_cumulative_expanded,b4_success_rate,b2_success_rate,time_test_name,time_p_value
large,4,4,1,128.40424000000135,41.685373333344465,115.76769999999215,227.8260850000094,40.19140000002608,59.68555500005548,0.34437261585434775,0.32464172003466574,0.3625351232035977,0.5708121064634365,0.0,1780.0,1663.5,3030.999999999999,2698.766666666667,2687.5,3048.65,1.0,1.0,wilcoxon,1.862645149230957e-09
large,4,4,3,205.5989133333052,129.69280333334913,201.876049999953,338.09986499989566,124.08875000005537,178.97340999993492,0.6543637730011442,0.6308049066538527,0.7067337116307494,1.2226445084143087,0.13333333333333333,2902.0666666666666,2879.5,4637.549999999997,7794.133333333333,7840.5,8951.65,1.0,1.0,wilcoxon,8.326023817062378e-07
large,4,4,5,250.19730333331913,214.2326799999902,226.1955499999999,444.4048699999653,209.60560000008854,256.55495499992753,0.9231702445674279,0.8562549521750202,0.9626065325368252,1.494008005833869,0.4,3541.0333333333333,3242.5,6056.849999999997,12504.5,12580.0,14744.55,1.0,1.0,wilcoxon,0.1459994912147522
large,4,4,7,253.35892000000513,313.88777333334025,229.8471999999947,413.8693750000754,300.1826499999538,358.6098349999417,1.3554471671165678,1.238905554749499,1.364288576769126,2.009804834651969,0.8,3354.1,2941.0,5641.249999999999,17083.133333333335,16525.0,19754.55,1.0,1.0,wilcoxon,0.0008718203753232956
large,4,4,10,277.05651333332827,482.42370666667586,266.437499999995,368.89643500002757,484.66469999993933,554.7957499999541,1.7579404103712883,1.741246581293215,1.8682630633822535,2.567934420168519,0.9666666666666667,4000.6,3910.0,5593.699999999999,24281.333333333332,24255.5,28676.05,1.0,1.0,wilcoxon,3.725290298461914e-09
