scale,k_events,n_block,intensity_index,b4_mean_event_ms,b2_mean_event_ms,b4_p50_event_ms,b4_p95_event_ms,b2_p50_event_ms,b2_p95_event_ms,b2_over_b4_time_ratio,b2_over_b4_time_ratio_mean_of_means,b2_over_b4_time_ratio_mean,b2_over_b4_time_ratio_p95,b4_faster_rate,b4_mean_event_expanded,b4_p50_event_expanded,b4_p95_event_expanded,b2_mean_event_expanded,b2_p50_event_expanded,b2_p95_event_expanded,b4_success_rate,b2_success_rate,time_test_name,time_p_value
large,5,2,2,41.88502600000371,41.60528666666247,38.22241000000304,66.19189900001516,42.39798000000974,48.39424500000404,1.0558494001285352,0.9933212567818099,1.0574249524419914,1.5066383488824446,0.5666666666666667,581.3199999999999,575.7,873.3699999999998,2728.873333333334,2859.0,3037.81,1.0,1.0,wilcoxon,0.6701805889606476
large,5,4,4,50.03946066666382,42.846535999998046,45.23910999999998,88.88097399999306,41.92112000001771,51.310990999985506,0.9231702445674279,0.8562549521750205,0.9626065325368252,1.494008005833869,0.4,708.2066666666666,648.5,1211.3699999999994,2500.9000000000005,2516.0,2948.91,1.0,1.0,wilcoxon,0.1459994912147522
large,5,6,6,57.769730666682335,44.31753333332684,52.48089000001528,93.62221300004647,43.53652999998303,51.788934999963196,0.8145373409699135,0.7671410758175162,0.8443482110126037,1.3232592752970453,0.23333333333333334,821.3466666666666,781.4000000000001,1312.1399999999996,2400.6600000000003,2440.8,2752.62,1.0,1.0,wilcoxon,0.0008718203753232956
large,5,8,8,66.74644866667829,44.05310199999349,60.80034000003707,102.26743300003136,44.69211999999061,48.87886500000832,0.697777564898969,0.660006680205385,0.721171983500593,1.141138603779158,0.13333333333333333,991.6800000000001,926.5,1467.8700000000001,2169.5266666666666,2186.8,2566.42,1.0,1.0,wilcoxon,2.0489096641540527e-07
