scale,n_block,intensity_index,k_events,graph_nodes,graph_edges,b4_mean_cumulative_ms,b2_mean_cumulative_ms,b2_over_b4_time_ratio,b2_over_b4_time_ratio_mean_of_means,b2_over_b4_time_ratio_p95,b4_faster_rate,b4_success_rate,b2_success_rate
small,4,4,5,2142,9486,189.93685624999657,105.07917500000374,0.5404890293595053,0.5532321481708511,1.0934612554128535,0.125,0.5333333333333333,0.5333333333333333
medium,4,4,5,3109,13300,201.91916551724412,148.4421310344852,0.7635538751090036,0.7351562228094096,1.2054548338391637,0.1724137931034483,0.9666666666666667,0.9666666666666667
large,4,4,5,6758,23728,250.19730333331913,214.2326799999902,0.9231702445674279,0.8562549521750202,1.494008005833869,0.4,1.0,1.0
