scale,k_events,n_block,intensity_index,b4_mean_event_ms,b2_mean_event_ms,b4_p50_event_ms,b4_p95_event_ms,b2_p50_event_ms,b2_p95_event_ms,b2_over_b4_time_ratio,b2_over_b4_time_ratio_mean_of_means,b2_over_b4_time_ratio_mean,b2_over_b4_time_ratio_p95,b4_faster_rate,b4_mean_event_expanded,b4_p50_event_expanded,b4_p95_event_expanded,b2_mean_event_expanded,b2_p50_event_expanded,b2_p95_event_expanded,b4_success_rate,b2_success_rate,time_test_name,time_p_value
large,5,2,2,69.56521727272089,60.10479363637325,62.278330000003734,104.69140099998867,57.5700900000129,69.93901700002198,0.9160526072187342,0.864006409995683,0.9663325290381571,1.6487791397116105,0.2727272727272727,895.2818181818183,797.3,1445.6299999999999,3451.290909090909,3456.9,3613.59,0.7333333333333333,0.7333333333333333,wilcoxon,0.07942724227905273
large,5,4,4,74.2960696296332,64.5799244444384,69.7472000000289,122.42878600000495,59.237020000000484,88.89042799997242,0.9056346060786485,0.8692239679214541,0.9484876354859456,1.4525252409043232,0.2962962962962963,924.2222222222221,919.0,1349.6799999999998,3325.496296296297,3299.2,3571.86,0.9,0.9,wilcoxon,0.024539664387702942
large,5,6,6,75.43828222222955,59.01641333335748,65.05368000002818,114.22716799997032,57.312180000008084,69.28511199995228,0.8945612090596551,0.7823138543836964,0.8292438942428049,1.0881219025437174,0.2222222222222222,1028.0444444444445,900.0,1378.48,3283.222222222222,3310.8,3556.52,0.3,0.3,wilcoxon,0.0546875
large,5,8,8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,na,nan
