scale,n_block,intensity_index,k_events,b4_mean_cumulative_ms,b2_mean_cumulative_ms,b4_p50_cumulative_ms,b4_p95_cumulative_ms,b2_p50_cumulative_ms,b2_p95_cumulative_ms,b2_over_b4_time_ratio,b2_over_b4_time_ratio_mean_of_means,b2_over_b4_time_ratio_mean,b2_over_b4_time_ratio_p95,b4_faster_rate,b4_mean_cumulative_expanded,b4_p50_cumulative_expanded,b4_p95_cumulative_expanded,b2_mean_cumulative_expanded,b2_p50_cumulative_expanded,b2_p95_cumulative_expanded,b4_success_rate,b2_success_rate,time_test_name,time_p_value
large,4,4,1,127.451150000009,59.77209999998325,118.69049999995696,198.06555000006938,56.956199999945056,75.84121499996286,0.5198481588208766,0.46898046820275086,0.5350558582876712,0.8177691150438051,0.0,1718.0,1562.0,2551.1,3509.1785714285716,3460.0,3862.45,0.9333333333333333,0.9333333333333333,wilcoxon,7.450580596923828e-09
large,4,4,3,361.18040769231095,181.90490000001074,336.80780000014465,575.6118999998989,176.52364999997872,237.68017499995153,0.5509087424213042,0.5036399985321885,0.5382019213019112,0.7838489289145351,0.0,4446.961538461538,4249.0,6015.25,10220.76923076923,10251.5,10986.75,0.8666666666666667,0.8666666666666667,wilcoxon,2.9802322387695312e-08
large,4,4,5,371.480348148166,322.89962222219197,348.7360000001445,612.1439300000247,296.1851000000024,444.4521399998621,0.9056346060786485,0.8692239679214538,0.9484876354859456,1.4525252409043232,0.2962962962962963,4621.111111111111,4595.0,6748.4,16627.48148148148,16496.0,17859.3,0.9,0.9,wilcoxon,0.024539664387702942
large,4,4,7,420.9493312499575,463.923243749889,433.15434999999525,552.9733500002294,447.05179999994016,555.5190499999867,1.0960542343111568,1.1020880883034683,1.1415299728089905,1.5943049735204253,0.5625,5501.875,5504.5,7254.5,22898.4375,22510.0,25081.25,0.5333333333333333,0.5333333333333333,wilcoxon,0.1590576171875
large,4,4,10,469.53921428563,644.2018857142427,451.4843499998733,686.0367099999165,637.6144499998873,758.3356149999303,1.3695575322724767,1.3719873998050394,1.4627959710669791,2.139862197836377,1.0,6155.642857142857,6104.0,7941.95,32064.785714285714,31706.5,34262.15,0.4666666666666667,0.4666666666666667,wilcoxon,0.0001220703125
