scale,n_block,intensity_index,k_events,b4_mean_event_expanded,b4_p50_event_expanded,b4_p95_event_expanded,b2_mean_event_expanded,b2_p50_event_expanded,b2_p95_event_expanded,expanded_reduction,expanded_ratio_p50_b2_over_b4,expanded_test_name,expanded_p_value,b4_mean_cumulative_queue_pushes,b2_mean_cumulative_queue_pushes,b4_mean_cumulative_updated_vertices,b2_mean_cumulative_updated_vertices,b4_mean_cumulative_reopened_states,b2_mean_cumulative_reopened_states,b4_mean_cumulative_expanded,b2_mean_cumulative_expanded
large,2,2,5,895.2818181818183,797.3,1445.6299999999999,3451.290909090909,3456.9,3613.59,0.7405950869503374,4.32943185975677,wilcoxon,4.76837158203125e-07,27923.272727272728,24849.090909090908,46766.22727272727,24844.090909090908,2299.3636363636365,0.0,4476.409090909091,17256.454545454544
large,4,4,5,924.2222222222221,919.0,1349.6799999999998,3325.496296296297,3299.2,3571.86,0.7220799123272049,3.6705979722739497,wilcoxon,1.4901161193847656e-08,29951.85185185185,24020.333333333332,50854.92592592593,24015.333333333332,2466.0,0.0,4621.111111111111,16627.48148148148
large,6,6,5,1028.0444444444445,900.0,1378.48,3283.222222222222,3310.8,3556.52,0.6868794206233713,3.3904444444444444,wilcoxon,0.00390625,33883.555555555555,23557.222222222223,57592.0,23552.222222222223,2705.0,0.0,5140.222222222223,16416.11111111111
large,8,8,5,nan,nan,nan,nan,nan,nan,nan,nan,na,nan,nan,nan,nan,nan,nan,nan,nan,nan
