scale,n_block,intensity_index,k_events,graph_nodes,graph_edges,b4_mean_cumulative_ms,b2_mean_cumulative_ms,b2_over_b4_time_ratio,b2_over_b4_time_ratio_mean_of_means,b2_over_b4_time_ratio_p95,b4_faster_rate,b4_success_rate,b2_success_rate
small,4,4,5,1573,7109,168.02152333333567,92.25761666666253,0.6110278369148447,0.5490821344574639,1.2815765492353721,0.13333333333333333,1.0,1.0
medium,4,4,5,2501,11714,275.722633333307,180.87406666666084,0.6583771514398833,0.6560000696352389,1.4070027669763039,0.2222222222222222,0.6,0.6
large,4,4,5,6740,24620,371.480348148166,322.89962222219197,0.9056346060786485,0.8692239679214538,1.4525252409043232,0.2962962962962963,0.9,0.9
