seed,n_block,blocked_edges,success,phase1_ms,phase3_ms,ratio_phase1_over_phase3,phase3_expanded,phase3_path_len_km,phase3_path_cost,note
20260318,2,"[(4921, 4979), (4862, 4921)]",True,69.28519997745752,5.101499846205115,13.581339226932867,85,3.8726207598725333,7.7356954014513315,
20260319,2,"[(4688, 4746), (4630, 4688)]",True,68.27119993977249,19.766499986872077,3.4538840960774446,288,3.867756983633359,7.785331607647872,
20260320,2,"[(4630, 4688), (4746, 4804)]",True,68.11430002562702,18.542899983003736,3.6733358907215163,292,4.037193590615252,7.792572253098644,
20260321,2,"[(4573, 4630), (4862, 4921)]",True,65.83520001731813,17.93569978326559,3.6706234388882804,279,3.8595425588811865,7.7376043793075,
20260322,2,"[(4921, 4979), (4746, 4804)]",True,67.2174000646919,7.866699947044253,8.544548605790846,131,4.0092254862766,7.787170930214331,
20260323,2,"[(4573, 4630), (4921, 4979)]",True,69.06579993665218,18.74949992634356,3.6836075739605643,279,3.8595425588811865,7.7376043793075,
20260324,2,"[(4688, 4746), (4630, 4688)]",True,66.8643000535667,18.815899966284633,3.5536062677510953,288,3.867756983633359,7.785331607647872,
20260325,2,"[(4573, 4630), (4862, 4921)]",True,65.66200009547174,17.1936999540776,3.818956959284354,279,3.8595425588811865,7.7376043793075,
20260326,2,"[(4688, 4746), (4804, 4862)]",True,65.93700009398162,7.633900037035346,8.63739370100378,130,4.009288398091325,7.766434194468808,
20260327,2,"[(4921, 4979), (4862, 4921)]",True,63.59129981137812,5.05840010009706,12.571425461216075,85,3.8726207598725333,7.7356954014513315,
20260328,2,"[(4746, 4804), (4921, 4979)]",True,72.50680006109178,8.428100030869246,8.602982854442187,131,4.0092254862766,7.787170930214331,
20260329,2,"[(4630, 4688), (4746, 4804)]",True,67.30190012603998,18.82609981112182,3.574925279333763,292,4.037193590615252,7.792572253098644,
20260330,2,"[(4573, 4630), (4630, 4688)]",True,66.11130014061928,17.85199996083975,3.7032993662133884,279,3.9005888642111857,7.7410967243356446,
20260331,2,"[(4804, 4862), (4688, 4746)]",True,66.1248997785151,7.837300188839436,8.437203907626131,130,4.009288398091325,7.766434194468808,
20260332,2,"[(4862, 4921), (4804, 4862)]",True,66.8434000108391,6.6587000619620085,10.038505922902836,115,3.8733340548917634,7.762812389723439,
20260333,2,"[(4573, 4630), (4688, 4746)]",True,64.7254001814872,18.170400056988,3.562134018980777,286,3.9962101970999773,7.768343172324976,
20260334,2,"[(4573, 4630), (4746, 4804)]",True,66.8295999057591,18.415499944239855,3.6289864575011217,286,3.9962101970999773,7.768343172324976,
20260335,2,"[(4573, 4630), (4688, 4746)]",True,65.4375001322478,18.231299938634038,3.589294255072776,286,3.9962101970999773,7.768343172324976,
20260336,2,"[(4804, 4862), (4746, 4804)]",True,64.98489994555712,7.4975998140871525,8.66742711760339,124,4.009288398091325,7.766434194468808,
20260337,2,"[(4688, 4746), (4921, 4979)]",True,65.36690006032586,8.361200103536248,7.817884902991364,137,4.0092254862766,7.787170930214331,
20260338,2,"[(4688, 4746), (4921, 4979)]",True,64.09689993597567,8.02730000577867,7.984864137360479,137,4.0092254862766,7.787170930214331,
20260339,2,"[(4630, 4688), (4921, 4979)]",True,63.02130012772977,17.63529982417822,3.573588243808975,280,3.900525952396461,7.761833460081168,
20260340,2,"[(4630, 4688), (4746, 4804)]",True,63.76089993864298,18.22690013796091,3.4981757433261533,292,4.037193590615252,7.792572253098644,
20260341,2,"[(4921, 4979), (4746, 4804)]",True,64.70210012048483,7.946200203150511,8.142520760404668,131,4.0092254862766,7.787170930214331,
20260342,2,"[(4862, 4921), (4804, 4862)]",True,65.18079992383718,7.575599942356348,8.604044619542444,115,3.8733340548917634,7.762812389723439,
20260343,2,"[(4804, 4862), (4573, 4630)]",True,69.88339987583458,18.038100097328424,3.874210670678384,285,3.8602558539004166,7.764721367579608,
20260344,2,"[(4746, 4804), (4630, 4688)]",True,64.78939997032285,18.61370005644858,3.4807372942424224,292,4.037193590615252,7.792572253098644,
20260345,2,"[(4804, 4862), (4630, 4688)]",True,65.5985998455435,18.49589985795319,3.546656304874849,290,3.9012392474156914,7.788950448353275,
20260346,2,"[(4804, 4862), (4746, 4804)]",True,65.562300151214,7.88799999281764,8.311650635257514,124,4.009288398091325,7.766434194468808,
20260347,2,"[(4921, 4979), (4804, 4862)]",True,66.53230008669198,7.598200114443898,8.756323745700843,123,4.0092254862766,7.787170930214331,
20260348,2,"[(4746, 4804), (4573, 4630)]",True,65.44819986447692,18.068100092932582,3.622306691231873,286,3.9962101970999773,7.768343172324976,
20260349,2,"[(4921, 4979), (4630, 4688)]",True,78.83029989898205,18.742799991741776,4.20589772785898,280,3.900525952396461,7.761833460081168,
20260350,2,"[(4921, 4979), (4688, 4746)]",True,64.40240005031228,8.5359001532197,7.54488675995349,137,4.0092254862766,7.787170930214331,
20260351,2,"[(4688, 4746), (4573, 4630)]",True,67.94629991054535,18.210900016129017,3.731078631499087,286,3.9962101970999773,7.768343172324976,
20260352,2,"[(4688, 4746), (4630, 4688)]",True,65.34230010583997,17.70540000870824,3.6905294471574748,288,3.867756983633359,7.785331607647872,
20260353,2,"[(4921, 4979), (4573, 4630)]",True,66.74349983222783,17.682700185105205,3.774508368832061,279,3.8595425588811865,7.7376043793075,
20260354,2,"[(4804, 4862), (4921, 4979)]",True,63.83030000142753,7.161800051108003,8.91260570609652,123,4.0092254862766,7.787170930214331,
20260355,2,"[(4921, 4979), (4804, 4862)]",True,67.06879986450076,7.326299790292978,9.154525720250206,123,4.0092254862766,7.787170930214331,
20260356,2,"[(4746, 4804), (4630, 4688)]",True,63.46839992329478,19.092299975454807,3.324293039858487,292,4.037193590615252,7.792572253098644,
20260357,2,"[(4804, 4862), (4573, 4630)]",True,73.66780005395412,18.48450000397861,3.985382349433192,285,3.8602558539004166,7.764721367579608,
20260358,2,"[(4573, 4630), (4688, 4746)]",True,64.86549996770918,17.75809982791543,3.6527275213163137,286,3.9962101970999773,7.768343172324976,
20260359,2,"[(4630, 4688), (4573, 4630)]",True,65.31759980134666,16.917400062084198,3.8609715181789954,279,3.9005888642111857,7.7410967243356446,
20260360,2,"[(4921, 4979), (4862, 4921)]",True,63.396899960935116,5.035500042140484,12.589990950330018,85,3.8726207598725333,7.7356954014513315,
20260361,2,"[(4688, 4746), (4862, 4921)]",True,64.60759998299181,8.532800013199449,7.5716763410662224,137,4.0092254862766,7.787170930214331,
20260362,2,"[(4630, 4688), (4862, 4921)]",True,65.26000006124377,17.568800132721663,3.714539386198484,280,3.900525952396461,7.761833460081168,
20260363,2,"[(4746, 4804), (4630, 4688)]",True,67.62159988284111,18.473700154572725,3.6604253244904483,292,4.037193590615252,7.792572253098644,
20260364,2,"[(4862, 4921), (4921, 4979)]",True,64.88680001348257,5.019600037485361,12.92668729160113,85,3.8726207598725333,7.7356954014513315,
20260365,2,"[(4630, 4688), (4573, 4630)]",True,63.58539988286793,17.21449987962842,3.6937117155587353,279,3.9005888642111857,7.7410967243356446,
20260366,2,"[(4573, 4630), (4746, 4804)]",True,66.53030007146299,17.65530020929873,3.7682905010260135,286,3.9962101970999773,7.768343172324976,
20260367,2,"[(4573, 4630), (4746, 4804)]",True,65.77360001392663,17.82820001244545,3.6893012176221722,286,3.9962101970999773,7.768343172324976,
