scale,n_block,intensity_index,k_events,b4_mean_event_expanded,b4_p50_event_expanded,b4_p95_event_expanded,b2_mean_event_expanded,b2_p50_event_expanded,b2_p95_event_expanded,expanded_reduction,expanded_ratio_p50_b2_over_b4,expanded_test_name,expanded_p_value,b4_mean_cumulative_queue_pushes,b2_mean_cumulative_queue_pushes,b4_mean_cumulative_updated_vertices,b2_mean_cumulative_updated_vertices,b4_mean_cumulative_reopened_states,b2_mean_cumulative_reopened_states,b4_mean_cumulative_expanded,b2_mean_cumulative_expanded
large,2,2,5,402.15333333333325,421.70000000000005,582.18,3456.7066666666665,3053.6000000000004,5696.74,0.8836599769337289,7.696833456773076,wilcoxon,1.862645149230957e-09,10761.866666666667,24313.0,19116.266666666666,24308.0,1097.6,0.0,2010.7666666666667,17283.533333333333
large,4,4,5,562.0066666666667,535.7,948.2899999999996,3073.0600000000004,3014.5,5535.06,0.8171182252651538,5.2921489096760865,wilcoxon,1.862645149230957e-09,15386.0,21791.533333333333,28312.833333333332,21786.533333333333,1555.6333333333334,0.0,2810.0333333333333,15365.3
large,6,6,5,594.4896551724138,581.8,939.8,3222.055172413793,2939.0,4911.88,0.8154936450926588,5.030331457160726,wilcoxon,3.725290298461914e-09,17085.51724137931,22789.96551724138,31619.0,22784.96551724138,1700.7241379310344,0.0,2972.448275862069,16110.275862068966
large,8,8,5,814.1230769230771,845.0999999999999,1101.4,3197.438461538462,3097.4,4931.7,0.7453827222271674,3.632258080792255,wilcoxon,2.9802322387695312e-08,23930.19230769231,22432.423076923078,43146.53846153846,22427.423076923078,2334.846153846154,0.0,4070.6153846153848,15987.192307692309
