scale,k_events,n_block,intensity_index,b4_mean_event_ms,b2_mean_event_ms,b4_p50_event_ms,b4_p95_event_ms,b2_p50_event_ms,b2_p95_event_ms,b2_over_b4_time_ratio,b2_over_b4_time_ratio_mean_of_means,b2_over_b4_time_ratio_mean,b2_over_b4_time_ratio_p95,b4_faster_rate,b4_mean_event_expanded,b4_p50_event_expanded,b4_p95_event_expanded,b2_mean_event_expanded,b2_p50_event_expanded,b2_p95_event_expanded,b4_success_rate,b2_success_rate,time_test_name,time_p_value
large,5,2,2,21.75443866667062,46.283449333334374,18.09152999996968,33.28869300001542,41.384389999996074,69.6689309999897,2.012761875557941,2.127540500699932,2.4623713965795133,5.284356061028097,0.9666666666666667,402.15333333333325,421.70000000000005,582.18,3456.7066666666665,3053.6000000000004,5696.74,1.0,1.0,wilcoxon,3.725290298461914e-09
large,5,4,4,32.14603266666927,45.94371933332695,30.036870000014915,54.625885000001496,43.256309999969744,69.0162409999948,1.489675577909952,1.4292189586730515,1.664924299394192,3.07055527352861,0.8333333333333334,562.0066666666667,535.7,948.2899999999996,3073.0600000000004,3014.5,5535.06,1.0,1.0,wilcoxon,8.856505155563354e-05
large,5,6,6,34.496662758626904,51.354791034481394,32.17003999998269,62.354616000011426,45.229499999959444,69.93149999994785,1.4902792579215383,1.48868867095379,1.798121786561428,3.4271617853770437,0.8275862068965517,594.4896551724138,581.8,939.8,3222.055172413793,2939.0,4911.88,0.9666666666666667,0.9666666666666667,wilcoxon,0.00015582889318466187
large,5,8,8,47.34264076922815,52.8338253846099,47.416739999994206,69.6097249999525,51.133619999973234,72.05855500001235,1.106812384409527,1.1159881351390717,1.2878628002322545,2.9610298365264027,0.6153846153846154,814.1230769230771,845.0999999999999,1101.4,3197.438461538462,3097.4,4931.7,0.8666666666666667,0.8666666666666667,wilcoxon,0.19873619079589844
