scale,n_block,intensity_index,k_events,graph_nodes,graph_edges,b4_mean_cumulative_ms,b2_mean_cumulative_ms,b2_over_b4_time_ratio,b2_over_b4_time_ratio_mean_of_means,b2_over_b4_time_ratio_p95,b4_faster_rate,b4_success_rate,b2_success_rate
small,4,4,5,2153,8759,283.28472142856907,119.17967142856766,0.4156607895023295,0.4207063156373546,0.667217789356318,0.0,0.4666666666666667,0.4666666666666667
medium,4,4,5,3744,13453,128.10593461538335,150.11003076922583,0.9506428168923045,1.1717648461791104,4.913391758567161,0.46153846153846156,0.8666666666666667,0.8666666666666667
large,4,4,5,6749,24534,160.73016333334635,229.71859666663477,1.489675577909952,1.4292189586730515,3.07055527352861,0.8333333333333334,1.0,1.0
