scale,n_block,intensity_index,k_events,b4_mean_cumulative_ms,b2_mean_cumulative_ms,b4_p50_cumulative_ms,b4_p95_cumulative_ms,b2_p50_cumulative_ms,b2_p95_cumulative_ms,b2_over_b4_time_ratio,b2_over_b4_time_ratio_mean_of_means,b2_over_b4_time_ratio_mean,b2_over_b4_time_ratio_p95,b4_faster_rate,b4_mean_cumulative_expanded,b4_p50_cumulative_expanded,b4_p95_cumulative_expanded,b2_mean_cumulative_expanded,b2_p50_cumulative_expanded,b2_p95_cumulative_expanded,b4_success_rate,b2_success_rate,time_test_name,time_p_value
large,4,4,1,70.82935666668011,43.68509666666872,66.70025000005353,99.11535500000352,39.6326999999701,67.28707500006406,0.4881256223102657,0.6167654024057976,0.7468983463711412,1.8636209171670082,0.16666666666666666,1303.4,1169.5,1671.65,3277.5333333333333,2963.5,5690.0,1.0,1.0,wilcoxon,0.00011058151721954346
large,4,4,3,148.72807666667237,141.12595666665584,132.06580000007762,251.716604999973,126.88344999986612,217.76662999996006,1.0248588734712447,0.948885777518294,1.2154568985570446,3.2133203584323495,0.5,2668.0666666666666,2579.0,4307.449999999999,10224.733333333334,8883.5,16946.3,1.0,1.0,wilcoxon,0.6701805889606476
large,4,4,5,160.73016333334635,229.71859666663477,150.18435000007457,273.1294250000075,216.28154999984872,345.081204999974,1.489675577909952,1.4292189586730515,1.664924299394192,3.07055527352861,0.8333333333333334,2810.0333333333333,2678.5,4741.449999999999,15365.3,15072.5,27675.3,1.0,1.0,wilcoxon,8.856505155563354e-05
large,4,4,7,179.36040000000352,351.59586333334875,172.35650000014857,282.3226599999884,323.6059499999442,493.2963650001341,1.9459138299153032,1.9602758654270498,2.41454739988449,5.7461392527769855,0.9333333333333333,3227.6666666666665,3255.5,5004.8,23531.466666666667,20858.0,38211.7,1.0,1.0,wilcoxon,6.146728992462158e-08
large,4,4,10,173.98713666665344,530.6556099999815,159.62040000005118,286.3670350000689,505.7175000000598,731.4948699998979,3.4060312167953284,3.049970360835805,3.470459612627975,5.951700201150889,1.0,3135.9333333333334,2941.0,4932.5999999999985,32211.533333333333,29052.5,53772.1,1.0,1.0,wilcoxon,1.862645149230957e-09
